Date,National UR,Michigan UR,Ann Arbor UR,Ann Arbor Employed Count
2018-04,0.039,0.043,0.034,6649
2018-05,0.038,0.042,0.031,6077
2018-06,0.04,0.04,0.03,5923
2018-07,0.039,0.04,0.028,5563
2018-08,0.038,0.039,0.027,5250
2018-09,0.037,0.039,0.028,5447
2018-10,0.038,0.04,0.03,5913
2018-11,0.037,0.04,0.031,6050
2018-12,0.039,0.04,0.032,6259
2019-01,0.04,0.04,0.03,5848
2019-02,0.038,0.04,0.028,5527
